Text,Label
Apratim madam. Tumhi kiti changlya pramane samjavum explain karun sangitle sagla kahi chaan dhakvun dile,Positive
mi karun bhagital tar te khup kharab zal hote,Negative
Khup chhan Tai tumhi khup sope padate ne sagta mala tumachi khupe recipe Chan ahet,Positive
Hello tai tumchy tips follow krt me ani mazya mummy ne kairi che lonche kele khupch testy zal ahe,Positive
Kairi lonche khup vait zal mi karun bhagital,Negative
Mastch Surekh mlahi pani aal tondala lonch bghun,Positive
Lonchachi quality khup kharab hoti,Negative
"Saral sopi paddhatini samajola baddal thanks, lagech bharani fridge madhe thevata yete ka",Positive
Lonchalya Burshi pakdun vait zal te fekun dil,Negative
Khup chhan savistar sangitle,Positive
Video khup lengthy zalay short sangital tar bar zal ast,Neutral
Khup chaan ani sopi recipe thanks tai,Positive
Mohriche tel takle tar te garm karave ka,Neutral
1 kg la Gul kiti takaycha ani kasa te sangal please,Neutral
Saritamedam tuhmi sarvach padarth khupach Chan padhatine shikavata thank u very much,Positive
Halad mith lavle nantr sutlela pani ky karache,Neutral
Mithyachya panyala khup kharab vas yet ahe,Negative
Lasun ani dhane jire nahi ghatle tumhi,Neutral
Lasun mule lonch kadachit kadu hoil,Negative
Evhde video pahile pan samadha nhi vatla kasa bancych shevti tumcha video sapdla Tai tevha mi step by step suruwat keli loncha banvayla Thank you very much Tai,Neutral
Thank you Tai khupch chan mahiti dili Tumhi,Positive
Nice me pan banavte,Positive
Khup sundar aahe,Positive
Loncha banavnyachi padhat khupach chhan aahe. Baric sarik tipas hi chhanach ahe.ekun sarvach chhan,Positive
Tai tumchi loncychi recipi khup chan sangitli mala awadli very nice,Positive
Mala lonch bilkul jamal nahi,Negative
Lonch banavnyachi padhat mala chukichi vatali,Negative
Majhi Aai lonchyat lasun thodese lasun thechun takte pan lonche baki recipi same tumchya sarkhich lonche apratim lagate,Neutral
Ajjichya hatachi taste tuzhya lonchyala nahi ali ase vatate,Negative
Tai khup chyan sangtes tu,Positive
Khup chhan sangtes.tuz bolan khup aavadta mala. aani tu pan.,Positive
Sarita tai ekdam mast Me tumache video nehmich baghat aste two years pasun,Positive
Khup chan padhatine tu samjavlas tai df hnyavad,Positive
Tuz boln jara mala khot vatal,Negative
Me kalch kel lonche tumche pahile lonche videos pahun pan khup vait zal,Negative
Ekdam zakaaaaass,Positive
Mast Gare Recipe Bhari Blog Sharda Kaku Ne Pn Madat Keli Mast Chan Gare,Positive
Lokanchi madat lagate nahitar kahich jamat nahi,Negative
Khup mast lagtat maje khup fevret ashet,Positive
Gare crispy nahi lagale mi karun bhagitale,Negative
Garyana taste bilkul ali nahi,Negative
Packet madhye air gelyavar gare mau padtat,Negative
Khup chan recipe ahe,Positive
Sarv kahi khupchach chan,Positive
Tuzyamule koknatil sarva gostinchi majja gheta yete Swanandi far sundar ,Positive
Khup chhan mahiti dilis talele gare kashe banavatat te.,Positive
Fakt garyanchya kurkurit aawajanech tondala pani sutle,Positive
Mast fansachi biryani pn bnva,Positive
Mla fansachi bhaji khup aavdte,Positive
Gare safed ahey.... kavla ahey ka... aamchya yete guhagar la yellow astat ani khop khop ??? astat.,Negative
Swanandi wafers chalanit kadhtana Chalaani madhe tissue papers thev,Neutral
"Kokanatil manse atta ata banavayala laglit,",Neutral
swanandi aaj pahilyanda phanas gare wafers kase bantat te kalale Thanks,Neutral
Talalele gare khup chan kurkurit lagtat mazi aai nehmi banvate atahi dilet patvun,Positive
Gare khup tikhat pan astat,Negative
Gare ajibat crispy nahi ahet,Negative
Te seed pan valvun nantr bhajun khayla changle lagtay,Neutral
Khup chan Pn khobaracha telcha vaparale pahije ka,Positive
Godya telatale gare tikat nahi,Negative
Godya telatale gare vait vas yeto,Negative
Kacha vato fanas karan mala fanus khup avadtho pan to kharab lagto,Negative
Jevadha patal asel tevadhya kurkurit hotil .wa tondala panich sutala.pan khup kharat hote,Negative
Wahhhh gavchya ghar chi athvan aali.. sukhh,Neutral
"Kharch swargsukh, sandan yummy.",Positive
"Wa wa mast sandna,mala khup avadtat",Positive
Phansach sandan rava nakosa vatato,Neutral
bai bai kharch piwla dhamak fanas,Neutral
Khup chan Fansache sandan,Positive
Khob chaan mast swanandi kharach gawachi athawan ali,Neutral
Apratim khupch sunder Dhanawad ,Positive
kadiche modakache recipe pn sanga na please,Neutral
Purnachi chalan ghyaychi pulp patkan nighto ,Negative
He sagle pdarth miltil as homestay chalu kr.khup jn etil.,Neutral
Ambyache nakkich karun baghen,Neutral
Itekya fansa cha kai karte tai,Neutral
Phanas kas pikvtat he sang na eka vedio madhe,Neutral
arechi chalani asel tar patapat ras nighato,Neutral
Khub chan.kokani recipe my favourite ,Positive
Wadyaanchaa suvaas mazyaa gharaa pariyant yet hotaa,Positive
Recipe khupch chan.tumhi sarvche chan aahat.,Positive
Mast vada recipe khayche ahet,Positive
Recipe ekdam sopi pan ani khup chan ahe tayi babanchi kharach karun baghnar recipe,Positive
vada recipe khup vel lagla vait zali,Negative
Receipe khup kharab hoti,Negative
Khup chan nakki karun pahnar,Positive
Masta Garama Garam Breakfast Zala Video Baghun,Positive
Breakfast khup vel chalala maja ali nahi,Negative
Khoopach maja ahe pavsat fansache vade,Neutral
Chan recipe ahe Lall khiwa Hirvi mirchi chi chatni pan chan lagte,Positive
Chatani khup vait ani tikhat zali hoti,Negative
Baba na sang Thode vade punyala pathva,Neutral
Mukta Narvekar chya Channel war fanasache Gharge aata ithe wade,Neutral
"Aamchya Kade barakya fanasacha gar Aani vari tandool, aale, sugar Ghalun Sandaan banawayacho",Neutral
Sawanadi tai ekda ghavane kashe banavata te sang na,Neutral
Aamchyakade tar swandichi aamti mhanun famous zali,Neutral
Upwasa la meeth naahi khayache aaste tya pexa sendhelon ghya,Neutral
"Fanas piklela hota na !! Mhanje Garyacha Godva masst Lagel,vegli sakhar ghalaychi Garaj nahi.Chhan,ek Navin Menu",Positive
Aamchyakade upasala tandool nahi chalat,Negative
Khup chan kelphuleche bhaji. Apratim ,Positive
Sunder kelful chi Bhaji Bonda chi Bharit Mouth watering Bhari Blog,Positive
Tuzya koknat yayla mala khup aawadel,Neutral
Majhi vahini chan karte kelfulachi bhaji,Positive
Kelphulachi bhaji kadu aste nakoshi vatate,Negative
Tuzya Konknatale road khup kharab astat,Negative
Khup chan jhalet donhi padarth ,Positive
Kiti Sundar Aplya jivan ahe khup chan Vlog,Positive
A aik na hi bhaji mihi karate .vadhya sudha karate,Neutral
Sawandhi khup chan god aahe beta.kaju barit mast and kel ful bhaji poushthik Tou resip mastch.god bless you and all your family.nechar and pashu pakshi chye love badal thuza khup manala bhari vatay thu zasaraki bhavi pedi bhartbhimi che jayan Karel.thumcha sarkhayan cha amhala sarth abhiman aahe.,Positive
Farach sunder vedeo aahe Swanandi.Kel fulachi bhaji aani kajuchya bondachi bhaji khawishi watali.,Positive
Kajuchi bhaji khup heat aste tyamule tabyet kharab hou shakate,Negative
Kel phulachya bhaji madhye dik khup kharab asto jatach nahi,Negative
Khup chan kel phul bhaji ani tu pn tai,Positive
New recepie baghyala milali,Neutral
Kelfulatil kadak deth tyala chor topi mhantat,Neutral
"Tai amche pan same asach gaonvakade mothe ghar,keli,ambe,fanas,jambul, ?????????? rangachya jaswanidichi ful,sakharesarkhe god lagnare chikku,gharamage mothi vihir,sagal hote,pan airport mulye gaon nahi rahile,tuze video amchya gharat saglyana khup awadatat,tu khup lucky ahes,khup chan videos astat,tuza aawaj pan khup chan",Positive
Amhi methi dane kelphulachya bhajit ghalayacho. (Fodanit). Bondapasun feni banate tyamule ti shaharat Milane Kathin asate,Negative
Kel phulachi bhaji city madhye milat nahi,Negative
Kelphulachi bhajichi ek vegali paddhat baghitali. Aamhi vegali karato. Bondach rait pan navinach kalal. ,Neutral
Khup Chhan Recipe Swanu Khup Nasibdar Aahes tu Aamcya Nasibala Asle Chavisht Padarth Kuthle Mazi Aai 83 Years chi Zali ti Khup Mothi Fan Aahe Tuzi 1 Divas Tuza Video Dahavla nahi ki Rusun Baste tila Tu aani Tuza Pratyek Vlog Khup Aavdto,Positive
Me hyacha pattice banvalela lockdown madhe,Neutral
Amhi kel fula chi bhaji var che vr khato,Neutral
"Tuje sagle vlog kup chan astat,hair care Kashi kartes",Positive
Kelichya kalachi bhaji (karhade padhdhatichi) ekda dakhavshil ka? Arthat jar vel milala tar. Mala awdat nahi pan tuzya subscriber s sathi nakki blog banav.,Neutral
Olya Kajuchya Biyanchi Bhaji Ekda Dakhva,Neutral
Kelfulachi bhajichi paddhat pahilyanda pahili hi. Nahitar aamhi bhaji chanadal takun fodni ghalun bhaji shijat thevto.,Neutral
